name,prebreak,day,offensive,defensive
fall camp practice #1,post,2017-07-31,53,53
fall camp practice #1,pre,2017-07-31,57,67
fall camp practice #2,post,2017-08-01,50,53
fall camp practice #2,pre,2017-08-01,57,67
fall camp practice #3,post,2017-08-02,52,52
fall camp practice #3,pre,2017-08-02,74,84
fall camp practice #4,post,2017-08-03,52,52
fall camp practice #4,pre,2017-08-03,74,84
fall camp practice #5,post,2017-08-04,52,52
fall camp practice #5,pre,2017-08-04,74,84
fall camp practice #6,post,2017-08-06,52,52
fall camp practice #6,pre,2017-08-06,74,84
fall camp practice #7,post,2017-08-07,52,52
fall camp practice #7,pre,2017-08-07,74,84
fall camp practice #8,post,2017-08-08,52,52
fall camp practice #8,pre,2017-08-08,74,84
fall camp scrimmage #1,post,2017-08-09,122,122
fall camp scrimmage #1,pre,2017-08-09,38,38
fall camp practice #10,post,2017-08-11,52,52
fall camp practice #10,pre,2017-08-11,74,84
fall camp practice #11,post,2017-08-12,52,52
fall camp practice #11,pre,2017-08-12,74,94
fall camp practice #12,post,2017-08-13,52,52
fall camp practice #12,pre,2017-08-13,74,84
fall camp practice #13,post,2017-08-14,52,52
fall camp practice #13,pre,2017-08-14,74,84
fall camp practice #14,post,2017-08-16,52,52
fall camp practice #14,pre,2017-08-16,74,84
fall camp walk thru #2,pre,2017-08-17,75,72
fall camp scrimmage #2,post,2017-08-18,97,97
fall camp scrimmage #2,pre,2017-08-18,36,46
fall camp practice #17,pre,2017-08-19,65,72
Oklahoma State #1,post,2017-08-20,57,60
Oklahoma State #1,pre,2017-08-20,58,58
Oklahoma State #2,post,2017-08-22,57,57
Oklahoma State #2,pre,2017-08-22,58,68
Oklahoma State #3,post,2017-08-23,57,42
Oklahoma State #3,pre,2017-08-23,66,91
Oklahoma State Scrim,post,2017-08-24,60,60
Oklahoma State Scrim,pre,2017-08-24,28,28
Oklahoma State #5,post,2017-08-25,57,57
Oklahoma State #5,pre,2017-08-25,58,68
Oklahoma State #6,post,2017-08-26,57,65
Oklahoma State #6,pre,2017-08-26,66,68
Oklahoma State #7,pre,2017-08-27,92,92
Oklahoma State #8,pre,2017-08-29,92,92
Oklahoma State Game,post,2017-08-31,18.87,11.13
Oklahoma State Game,pre,2017-08-31,17.8,12.2
Louisiana #1,post,2017-09-05,57,57
Louisiana #1,pre,2017-09-05,60,70
Louisiana #2,post,2017-09-06,57,57
Louisiana #2,pre,2017-09-06,68,78
Louisiana #3,pre,2017-09-07,112,122
Louisiana Game,post,2017-09-09,18.03,11.97
Louisiana Game,pre,2017-09-09,14.5,15.5
Toledo #1,post,2017-09-12,57,57
Toledo #1,pre,2017-09-12,60,70
Toledo #2,post,2017-09-13,57,57
Toledo #2,pre,2017-09-13,68,78
Toledo #3,pre,2017-09-14,132,132
Toledo Game,post,2017-09-16,19.62,10.38
Toledo Game,pre,2017-09-16,14.75,15.25
New Mexico #1,post,2017-09-19,57,57
New Mexico #1,pre,2017-09-19,60,70
New Mexico #2,post,2017-09-20,57,57
New Mexico #2,pre,2017-09-20,60,70
New Mexico #3,pre,2017-09-21,112,122
New Mexico Game,post,2017-09-23,8.57,21.43
New Mexico Game,pre,2017-09-23,8.75,21.25
Navy #1,post,2017-09-26,57,50
Navy #1,pre,2017-09-26,60,70
Navy #2,post,2017-09-27,57,57
Navy #2,pre,2017-09-27,60,70
Navy #3,pre,2017-09-28,112,122
Navy Game,post,2017-09-30,8.07,21.93
Navy Game,pre,2017-09-30,12.3,17.7
Tulane #1,post,2017-10-03,57,57
Tulane #1,pre,2017-10-03,60,70
Tulane #2,pre,2017-10-05,112,122
Tulane Game,post,2017-10-07,9.52,20.48
Tulane Game,pre,2017-10-07,6.85,23.15
Houston #1,post,2017-10-10,57,57
Houston #1,pre,2017-10-10,60,70
Houston #2,post,2017-10-11,57,49
Houston #2,pre,2017-10-11,68,78
Houston #3,pre,2017-10-12,112,122
Houston Game,post,2017-10-14,17.37,12.63
Houston Game,pre,2017-10-14,10.62,19.38
Conneticut #1,post,2017-10-17,57,57
Conneticut #1,pre,2017-10-17,60,70
Conneticut #2,post,2017-10-18,57,49
Conneticut #2,pre,2017-10-18,68,78
Conneticut #3,pre,2017-10-19,112,122
Conneticut Game,post,2017-10-21,12.28,17.72
Conneticut Game,pre,2017-10-21,13.98,16.02
S Methodist #1,post,2017-10-24,55,55
S Methodist #1,pre,2017-10-24,66,76
S Methodist #2,pre,2017-10-25,102,102
S Methodist Game,post,2017-10-27,14.57,15.43
S Methodist Game,pre,2017-10-27,19.87,10.13
Memphis #1,post,2017-10-31,55,55
Memphis #1,pre,2017-10-31,66,66
Memphis #2,pre,2017-11-01,102,110
Memphis Game,post,2017-11-03,8.4,21.6
Memphis Game,pre,2017-11-03,17.48,12.52
Bye #1,pre,2017-11-07,77,77
S Florida #1,post,2017-11-08,57,49
S Florida #1,pre,2017-11-08,60,60
S Florida #2,post,2017-11-09,49,49
S Florida #2,pre,2017-11-09,52,52
S Florida #3,pre,2017-11-12,92,112
S Florida #4,pre,2017-11-14,112,112
S Florida Game,post,2017-11-16,17.6,12.4
S Florida Game,pre,2017-11-16,15.65,14.35
Temple #1,post,2017-11-21,57,57
Temple #1,pre,2017-11-21,60,70
Temple #2,post,2017-11-22,57,49
Temple #2,pre,2017-11-22,68,78
Temple #3,pre,2017-11-23,112,122
Temple Game,post,2017-11-25,14.43,15.57
Temple Game,pre,2017-11-25,16.37,13.63
